Rendering image..........................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=4i,mem.alloc=524748304i,mem.frees=63i,mem.gc.count=0i,mem.gc.cpu_fraction=0,mem.gc.last=0i,mem.gc.next=4194304i,mem.gc.pause=0i,mem.gc.pause_total=0i,mem.gc.sys=21195832i,mem.heap.alloc=524748304i,mem.heap.idle=2883584i,mem.heap.inuse=525238272i,mem.heap.objects=1267i,mem.heap.released=2883584i,mem.heap.sys=528121856i,mem.lookups=0i,mem.malloc=1330i,mem.othersys=618818i,mem.stack.inuse=360448i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=11968i,mem.stack.mspan_sys=32640i,mem.stack.sys=360448i,mem.sys=551789960i,mem.total=524748304i 1660162810439275036]
.............................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7670i,mem.alloc=553213736i,mem.frees=4501316i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=21913808i,mem.heap.alloc=553213736i,mem.heap.idle=3137536i,mem.heap.inuse=553984000i,mem.heap.objects=1526382i,mem.heap.released=3137536i,mem.heap.sys=557121536i,mem.lookups=0i,mem.malloc=6027698i,mem.othersys=836442i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=560320i,mem.stack.mspan_sys=571200i,mem.stack.sys=17465344i,mem.sys=599369096i,mem.total=553376592i 1660162820447533497]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=559066608i,mem.frees=5596895i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22065456i,mem.heap.alloc=559066608i,mem.heap.idle=1482752i,mem.heap.inuse=559833088i,mem.heap.objects=1891614i,mem.heap.released=1482752i,mem.heap.sys=561315840i,mem.lookups=0i,mem.malloc=7488509i,mem.othersys=717946i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=656064i,mem.stack.mspan_sys=669120i,mem.stack.sys=17465344i,mem.sys=603694472i,mem.total=559229464i 1660162830456379153]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=560900808i,mem.frees=5939244i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22065456i,mem.heap.alloc=560900808i,mem.heap.idle=3850240i,mem.heap.inuse=561659904i,mem.heap.objects=2005767i,mem.heap.released=3850240i,mem.heap.sys=565510144i,mem.lookups=0i,mem.malloc=7945011i,mem.othersys=685306i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=690880i,mem.stack.mspan_sys=701760i,mem.stack.sys=17465344i,mem.sys=607888776i,mem.total=561063664i 1660162840442865177]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=562740240i,mem.frees=6282573i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22130992i,mem.heap.alloc=562740240i,mem.heap.idle=2015232i,mem.heap.inuse=563494912i,mem.heap.objects=2120247i,mem.heap.released=2015232i,mem.heap.sys=565510144i,mem.lookups=0i,mem.malloc=8402820i,mem.othersys=668986i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=716992i,mem.stack.mspan_sys=718080i,mem.stack.sys=17465344i,mem.sys=607954312i,mem.total=562903096i 1660162850446602549]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=564574584i,mem.frees=6624840i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22135112i,mem.heap.alloc=564574584i,mem.heap.idle=188416i,mem.heap.inuse=565321728i,mem.heap.objects=2234375i,mem.heap.released=188416i,mem.heap.sys=565510144i,mem.lookups=0i,mem.malloc=8859215i,mem.othersys=615906i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=751808i,mem.stack.mspan_sys=767040i,mem.stack.sys=17465344i,mem.sys=607954312i,mem.total=564737440i 1660162860452803193]
.....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=566418576i,mem.frees=6969024i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22206816i,mem.heap.alloc=566418576i,mem.heap.idle=2547712i,mem.heap.inuse=567156736i,mem.heap.objects=2349140i,mem.heap.released=2547712i,mem.heap.sys=569704448i,mem.lookups=0i,mem.malloc=9318164i,mem.othersys=593418i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=777920i,mem.stack.mspan_sys=783360i,mem.stack.sys=17465344i,mem.sys=612214152i,mem.total=566581432i 1660162870460927544]
..................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=568254584i,mem.frees=7311605i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22217104i,mem.heap.alloc=568254584i,mem.heap.idle=712704i,mem.heap.inuse=568991744i,mem.heap.objects=2463372i,mem.heap.released=712704i,mem.heap.sys=569704448i,mem.lookups=0i,mem.malloc=9774977i,mem.othersys=812634i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=812736i,mem.stack.mspan_sys=816000i,mem.stack.sys=17465344i,mem.sys=612476296i,mem.total=568417440i 1660162880442539835]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=570098944i,mem.frees=7655858i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22217104i,mem.heap.alloc=570098944i,mem.heap.idle=3055616i,mem.heap.inuse=570843136i,mem.heap.objects=2578160i,mem.heap.released=3055616i,mem.heap.sys=573898752i,mem.lookups=0i,mem.malloc=10234018i,mem.othersys=779994i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=838848i,mem.stack.mspan_sys=848640i,mem.stack.sys=17465344i,mem.sys=616670600i,mem.total=570261800i 1660162890448406638]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=571933592i,mem.frees=7998269i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22292928i,mem.heap.alloc=571933592i,mem.heap.idle=1220608i,mem.heap.inuse=572678144i,mem.heap.objects=2692333i,mem.heap.released=1220608i,mem.heap.sys=573898752i,mem.lookups=0i,mem.malloc=10690602i,mem.othersys=737066i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=873664i,mem.stack.mspan_sys=881280i,mem.stack.sys=17465344i,mem.sys=616736136i,mem.total=572096448i 1660162900455604928]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=573748400i,mem.frees=8336903i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22292928i,mem.heap.alloc=573748400i,mem.heap.idle=3612672i,mem.heap.inuse=574480384i,mem.heap.objects=2805249i,mem.heap.released=3612672i,mem.heap.sys=578093056i,mem.lookups=0i,mem.malloc=11142152i,mem.othersys=704426i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=899776i,mem.stack.mspan_sys=913920i,mem.stack.sys=17465344i,mem.sys=620930440i,mem.total=573911256i 1660162910449293884]
